"lnx" "g_linear_UK" "g_quadratic_UK"
8.06808962627824 7.9816698 7.4005104
8.11522197256233 7.9731658 7.4919929
8.10741881171997 7.9745737 7.477238
8.12118324207883 7.9720903 7.5031606
8.12740456269308 7.9709678 7.514719
8.14148104145742 7.968428 7.5405074
8.14031554015999 7.9686383 7.5383913
8.13885675069633 7.9689015 7.5357379
8.13241267450091 7.9700642 7.5239518
8.11761074646623 7.9727348 7.4964789
8.15392513200786 7.9661828 7.562885
8.1797604936999 7.9615214 7.6080844
8.20056279700856 7.9577681 7.6432432
8.20056279700856 7.9577681 7.6432432
8.19478163844336 7.9588112 7.6335828
8.18144069571937 7.9612182 7.6109651
8.1886891244442 7.9599104 7.62331
8.21959545417708 7.9543341 7.6744457
8.25556865328375 7.9478436 7.7309016
8.30003171177957 7.9398213 7.7961279
8.29629711264251 7.9404951 7.790843
8.28778002708843 7.9420318 7.7786574
8.25478892614873 7.9479843 7.7297129
8.24564690087386 7.9496337 7.7156596
8.30127348519135 7.9395972 7.7978773
8.32312288758773 7.935655 7.828016
8.35443894011481 7.9300047 7.8690932
8.35796296584568 7.9293689 7.8735593
8.39570329382853 7.9225596 7.9194062
8.426611813185 7.9169828 7.9542524
8.41005331585833 7.9199704 7.9358869
8.40065937516029 7.9216653 7.9251575
8.41737285613403 7.9186498 7.9440913
8.39840965542627 7.9220713 7.9225546
8.39570329382853 7.9225596 7.9194062
8.41626727282628 7.9188493 7.9428608
8.44052810648075 7.914472 7.9691474
8.45083969086622 7.9126115 7.9798661
8.40043463080604 7.9217059 7.924898
8.4142741374084 7.9192089 7.9406347
8.43620003220671 7.9152529 7.9645678
8.45723085024355 7.9114583 7.9863736
8.46842302704681 7.909439 7.9975191
8.50126704086598 7.903513 8.0283846
8.50248556254396 7.9032932 8.0294768
8.57319538153152 7.8905353 8.086385
8.59118687132456 7.8872891 8.0988329
8.59803557926034 7.8860534 8.1033548
8.60502090178176 7.8847931 8.1078439
8.49084921607663 7.9053927 8.0188918
8.42244285487043 7.917735 7.9496943
8.39818440483404 7.9221119 7.9222932
8.44182288439146 7.9142384 7.9705081
8.46800294722547 7.9095148 7.9971065
8.50126704086598 7.903513 8.0283846
8.54558626591746 7.8955167 8.0656799
8.50431056558522 7.9029639 8.0311057
8.57828829077605 7.8896164 8.0899923
8.58615939588096 7.8881962 8.0954375
8.61304867705976 7.8833447 8.1128494
8.60171814648593 7.885389 8.1057369
8.54441917766983 7.8957273 8.0647619
8.54636356871602 7.8953764 8.0662894
8.57111303340567 7.890911 8.0848911
8.63194942871443 7.8799345 8.1239864
8.66544076787644 7.8738917 8.1414868
8.70533113353163 7.8666945 8.158604
8.7352035906187 7.8613047 8.1687691
8.74289347151214 7.8599172 8.171018
8.74225490188635 7.8600324 8.170837
8.83287946027762 7.8436813 8.1861446
8.92025541490809 7.8279164 8.1811014
8.94102198354136 7.8241696 8.1770436
8.95467362895641 7.8217064 8.1737777
8.9099107267019 7.8297828 8.1827131
8.86163359768663 7.8384933 8.1866311
8.81655676864186 7.8466264 8.1849316
8.79543080504002 7.8504381 8.1823544
8.8167050156216 7.8465996 8.1849457
8.84735987547417 7.8410687 8.1866527
8.84029066908897 7.8423442 8.1864713
8.86545282575362 7.8378042 8.1865373
8.86049916761602 7.838698 8.1866518
8.89617742227481 7.8322607 8.1844316
8.93247660846174 7.8257114 8.1788463
8.96520680277036 7.819806 8.1709336
8.97347814852104 7.8183136 8.1685022
8.98494428560868 7.8162448 8.1648435
8.97866048963969 7.8173786 8.16689
9.01286456741055 7.8112072 8.1545343
9.06473639811739 7.8018482 8.1301117
9.08896338580958 7.797477 8.1163577
9.08986621850831 7.7973141 8.1158163
9.12139986267954 7.7916246 8.095603
9.16617947619041 7.7835451 8.062548
9.18522767116111 7.7801083 8.0469393
9.19877373560472 7.7776643 8.035277
9.21522840604896 7.7746954 8.0204822
9.25052216160901 7.7683275 7.9864231
9.26407069439715 7.765883 7.9725061
9.28424117981572 7.7622437 7.950921
9.29990681533523 7.7594172 7.9334419
9.33167265714371 7.7536858 7.8960806
9.39449358359911 7.7423512 7.8146285
9.38058934753587 7.7448599 7.8335224
9.37966111659289 7.7450274 7.8347662
9.4020345350168 7.7409906 7.8041755
9.42391831842069 7.7370422 7.7730213
9.45915167003897 7.7306852 7.7203001
9.48524111006323 7.7259779 7.6792243
9.46715078076088 7.7292419 7.7078903
9.45360022687522 7.7316868 7.7288167
9.46962296990626 7.7287959 7.7040221
9.5034576469179 7.7226912 7.6495162
9.5258078304359 7.7186586 7.6119125
9.55732855032537 7.7129714 7.5567176
9.59743782272616 7.7057347 7.4828256
9.5740107904273 7.7099615 7.5264821
9.68719547617102 7.68954 7.3026271
9.70528048651195 7.686277 7.2638362
9.70570712067963 7.6862 7.2629111
9.68632607289947 7.6896969 7.3044709
9.68346412855816 7.6902132 7.3105268
9.70302239150588 7.6866844 7.2687251
9.74255559842064 7.6795516 7.1812569
9.76652169746297 7.6752274 7.1262937
9.78886202669482 7.6711966 7.0737418
9.81983416753888 7.6656084 6.9987828
9.84479855618745 7.6611042 6.9365859
9.86386275775286 7.6576645 6.8880202
