"lnx" "g_linear_SPA"
8.15017926968233 3.656263
8.24012129807647 3.7367745
8.31996102188653 3.8082429
8.31041499418829 3.7996978
8.37286082052632 3.855596
8.39886000445437 3.8788692
8.46989191829822 3.9424532
8.49699048409872 3.9667105
8.55178783618074 4.0157622
8.53405030848266 3.9998845
8.52456594574565 3.9913946
8.62819774945915 4.0841604
8.7132532743207 4.1602977
8.80071662871916 4.2385904
8.84577725518844 4.2789263
8.91193433616143 4.3381467
8.97221007835365 4.3921024
9.01371703047137 4.4292573
9.06021491339854 4.4708798
9.13852208418571 4.5409763
9.16020430248239 4.5603851
9.19968379178765 4.5957251
9.2869309741379 4.6738243
9.36203088521662 4.7410498
9.42448354109309 4.7969542
9.44311737225863 4.8136342
9.47677327138879 4.8437612
9.49867223326946 4.8633641
9.51583780429796 4.8787298
9.52376328792011 4.8858243
9.54738387396569 4.9069682
9.5392843421766 4.8997179
9.55002173953834 4.9093295
9.56359948861374 4.9214836
9.56857410037891 4.9259366
9.59492226916792 4.9495221
9.63148195946935 4.9822484
9.69695526702712 5.0408568
9.75684197219464 5.0944642
9.81787519646021 5.149098
9.86344650299894 5.1898911
9.90138833071097 5.2238546
9.91981196628607 5.2403465
9.90631054414314 5.2282607
9.93662994545704 5.2554011
9.97683544447348 5.291391
10.007174674852 5.3185491
10.0481771211513 5.3552524
10.0976084434191 5.3995007
10.1483745759 5.4449439
10.2034017601978 5.4942014
10.2454288636111 5.5318219
10.2665086151993 5.5506914
10.2877925189422 5.5697436
10.3118847777844 5.5913098
10.3380453996027 5.6147274
10.3705939732985 5.6438632
10.3962133512749 5.6667963
10.3995342875335 5.6697691
